bottleneck_id,cpu_name,gpu_name,balance,wqhd,four_k,game_appropriate,game_delivery,video_editing,encode,created_at,updated_at
46,Core i5 10400,RTX 3080,1,4,2,0,2,2,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
47,Ryzen 9 5900X,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
48,Ryzen 9 5950X,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
49,Ryzen 7 5800X,RTX 3080,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
50,Ryzen 7 3700X,RTX 3080,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
51,Ryzen 5 5600X,RTX 3080,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
52,Ryzen 5 3600,RTX 3080,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
53,Ryzen 5 3500X,RTX 3080,1,4,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
54,Ryzen 5 3500,RTX 3080,1,4,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
55,Core i9 11900K,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
56,Core i9 11900,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
57,Core i9 10900K,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
58,Core i9 10900,RX 6800 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
59,Core i7 11700K,RX 6800 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
60,Core i7 11700,RX 6800 XT,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
61,Core i7 10700K,RX 6800 XT,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
62,Core i7 10700,RX 6800 XT,2,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
63,Core i5 11400,RX 6800 XT,2,4,3,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
64,Core i5 10400,RX 6800 XT,1,4,2,0,2,2,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
65,Ryzen 9 5900X,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
66,Ryzen 9 5950X,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
67,Ryzen 7 5800X,RX 6800 XT,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
68,Ryzen 7 3700X,RX 6800 XT,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
69,Ryzen 5 5600X,RX 6800 XT,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
70,Ryzen 5 3600,RX 6800 XT,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
71,Ryzen 5 3500X,RX 6800 XT,1,4,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
72,Ryzen 5 3500,RX 6800 XT,1,4,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
73,Core i9 11900K,RTX 3070,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
74,Core i9 11900,RTX 3070,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
75,Core i9 10900K,RTX 3070,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
76,Core i9 10900,RTX 3070,4,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
77,Core i7 11700K,RTX 3070,4,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
78,Core i7 11700,RTX 3070,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
79,Core i7 10700K,RTX 3070,4,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
80,Core i7 10700,RTX 3070,3,4,4,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
81,Core i5 11400,RTX 3070,2,4,3,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
82,Core i5 10400,RTX 3070,2,4,2,0,2,2,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
83,Ryzen 9 5900X,RTX 3070,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
84,Ryzen 9 5950X,RTX 3070,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
85,Ryzen 7 5800X,RTX 3070,4,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
86,Ryzen 7 3700X,RTX 3070,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
87,Ryzen 5 5600X,RTX 3070,3,4,4,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
88,Ryzen 5 3600,RTX 3070,2,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
89,Ryzen 5 3500X,RTX 3070,1,4,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
90,Ryzen 5 3500,RTX 3070,1,4,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
91,Core i9 11900K,RTX 3060 Ti,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
92,Core i9 11900,RTX 3060 Ti,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
93,Core i9 10900K,RTX 3060 Ti,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
94,Core i9 10900,RTX 3060 Ti,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
95,Core i7 11700K,RTX 3060 Ti,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
96,Core i7 11700,RTX 3060 Ti,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
97,Core i7 10700K,RTX 3060 Ti,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
98,Core i7 10700,RTX 3060 Ti,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
99,Core i5 11400,RTX 3060 Ti,2,3,2,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
100,Core i5 10400,RTX 3060 Ti,2,3,2,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
101,Ryzen 9 5900X,RTX 3060 Ti,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
102,Ryzen 9 5950X,RTX 3060 Ti,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
103,Ryzen 7 5800X,RTX 3060 Ti,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
104,Ryzen 7 3700X,RTX 3060 Ti,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
105,Ryzen 5 5600X,RTX 3060 Ti,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
106,Ryzen 5 3600,RTX 3060 Ti,2,3,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
107,Ryzen 5 3500X,RTX 3060 Ti,2,3,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
108,Ryzen 5 3500,RTX 3060 Ti,2,3,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
109,Core i9 11900K,RX 6800,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
110,Core i9 11900,RX 6800,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
111,Core i9 10900K,RX 6800,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
112,Core i9 10900,RX 6800,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
113,Core i7 11700K,RX 6800,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
114,Core i7 11700,RX 6800,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
115,Core i7 10700K,RX 6800,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
116,Core i7 10700,RX 6800,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
117,Core i5 11400,RX 6800,2,3,2,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
118,Core i5 10400,RX 6800,2,3,2,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
119,Ryzen 9 5900X,RX 6800,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
120,Ryzen 9 5950X,RX 6800,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
121,Ryzen 7 5800X,RX 6800,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
122,Ryzen 7 3700X,RX 6800,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
123,Ryzen 5 5600X,RX 6800,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
124,Ryzen 5 3600,RX 6800,2,3,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
125,Ryzen 5 3500X,RX 6800,2,3,2,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
126,Ryzen 5 3500,RX 6800,2,3,2,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
127,Core i9 11900K,RTX 3060,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
128,Core i9 11900,RTX 3060,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
129,Core i9 10900K,RTX 3060,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
130,Core i9 10900,RTX 3060,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
131,Core i7 11700K,RTX 3060,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
132,Core i7 11700,RTX 3060,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
133,Core i7 10700K,RTX 3060,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
134,Core i7 10700,RTX 3060,4,4,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
135,Core i5 11400,RTX 3060,3,3,2,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
136,Core i5 10400,RTX 3060,3,3,1,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
137,Ryzen 9 5900X,RTX 3060,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
138,Ryzen 9 5950X,RTX 3060,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
139,Ryzen 7 5800X,RTX 3060,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
140,Ryzen 7 3700X,RTX 3060,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
141,Ryzen 5 5600X,RTX 3060,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
142,Ryzen 5 3600,RTX 3060,3,3,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
143,Ryzen 5 3500X,RTX 3060,3,3,1,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
144,Ryzen 5 3500,RTX 3060,3,3,1,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
145,Core i9 11900K,RX 5700 XT,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
146,Core i9 11900,RX 5700 XT,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
147,Core i9 10900K,RX 5700 XT,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
148,Core i9 10900,RX 5700 XT,3,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
149,Core i7 11700K,RX 5700 XT,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
150,Core i7 11700,RX 5700 XT,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
151,Core i7 10700K,RX 5700 XT,4,4,3,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
152,Core i7 10700,RX 5700 XT,4,4,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
153,Core i5 11400,RX 5700 XT,3,3,2,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
154,Core i5 10400,RX 5700 XT,3,3,1,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
155,Ryzen 9 5900X,RX 5700 XT,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
156,Ryzen 9 5950X,RX 5700 XT,3,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
157,Ryzen 7 5800X,RX 5700 XT,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
158,Ryzen 7 3700X,RX 5700 XT,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
159,Ryzen 5 5600X,RX 5700 XT,4,4,3,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
160,Ryzen 5 3600,RX 5700 XT,3,3,2,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
161,Ryzen 5 3500X,RX 5700 XT,3,3,1,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
162,Ryzen 5 3500,RX 5700 XT,3,3,1,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
163,Core i9 11900K,GTX 1660 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
164,Core i9 11900,GTX 1660 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
165,Core i9 10900K,GTX 1660 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
166,Core i9 10900,GTX 1660 Super,2,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
167,Core i7 11700K,GTX 1660 Super,2,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
168,Core i7 11700,GTX 1660 Super,3,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
169,Core i7 10700K,GTX 1660 Super,3,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
170,Core i7 10700,GTX 1660 Super,4,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
171,Core i5 11400,GTX 1660 Super,4,2,1,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
172,Core i5 10400,GTX 1660 Super,4,1,1,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
173,Ryzen 9 5900X,GTX 1660 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
174,Ryzen 9 5950X,GTX 1660 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
175,Ryzen 7 5800X,GTX 1660 Super,3,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
176,Ryzen 7 3700X,GTX 1660 Super,3,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
177,Ryzen 5 5600X,GTX 1660 Super,3,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
178,Ryzen 5 3600,GTX 1660 Super,4,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
179,Ryzen 5 3500X,GTX 1660 Super,4,1,1,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
180,Ryzen 5 3500,GTX 1660 Super,3,1,1,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
181,Core i9 11900K,GTX 1650 Super,1,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
182,Core i9 11900,GTX 1650 Super,1,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
183,Core i9 10900K,GTX 1650 Super,1,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
184,Core i9 10900,GTX 1650 Super,1,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
185,Core i7 11700K,GTX 1650 Super,1,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
186,Core i7 11700,GTX 1650 Super,2,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
187,Core i7 10700K,GTX 1650 Super,2,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
188,Core i7 10700,GTX 1650 Super,3,2,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
189,Core i5 11400,GTX 1650 Super,4,1,1,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
190,Core i5 10400,GTX 1650 Super,4,1,1,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
191,Ryzen 9 5900X,GTX 1650 Super,1,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
192,Ryzen 9 5950X,GTX 1650 Super,1,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
193,Ryzen 7 5800X,GTX 1650 Super,2,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
194,Ryzen 7 3700X,GTX 1650 Super,3,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
195,Ryzen 5 5600X,GTX 1650 Super,3,2,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
196,Ryzen 5 3600,GTX 1650 Super,4,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
197,Ryzen 5 3500X,GTX 1650 Super,4,1,1,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
198,Ryzen 5 3500,GTX 1650 Super,4,1,1,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
199,Core i9 11900K,GTX 1650,1,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
200,Core i9 11900,GTX 1650,1,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
201,Core i9 10900K,GTX 1650,1,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
202,Core i9 10900,GTX 1650,1,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
203,Core i7 11700K,GTX 1650,1,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
204,Core i7 11700,GTX 1650,2,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
205,Core i7 10700K,GTX 1650,2,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
206,Core i7 10700,GTX 1650,3,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
207,Core i5 11400,GTX 1650,4,1,1,0,3,4,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
208,Core i5 10400,GTX 1650,4,1,1,0,2,2,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
209,Ryzen 9 5900X,GTX 1650,1,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
210,Ryzen 9 5950X,GTX 1650,1,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
211,Ryzen 7 5800X,GTX 1650,2,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
212,Ryzen 7 3700X,GTX 1650,3,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
213,Ryzen 5 5600X,GTX 1650,3,1,1,0,4,4,4,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
214,Ryzen 5 3600,GTX 1650,4,1,1,0,4,4,3,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
215,Ryzen 5 3500X,GTX 1650,4,1,1,0,3,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
216,Ryzen 5 3500,GTX 1650,4,1,1,0,2,3,2,2021-11-10 12:14:00+09,2021-11-10 12:14:00+09
